"","Country.Name","Indicator.Code","Year","Users"
"7921","Aruba","IT.NET.USER.P2","1990",0
"8185","Aruba","IT.NET.USER.P2","1991",0
"8449","Aruba","IT.NET.USER.P2","1992",0
"8713","Aruba","IT.NET.USER.P2","1993",0
"8977","Aruba","IT.NET.USER.P2","1994",0
"9505","Aruba","IT.NET.USER.P2","1996",2.768382663
"9769","Aruba","IT.NET.USER.P2","1997",0
"10033","Aruba","IT.NET.USER.P2","1998",0
"10297","Aruba","IT.NET.USER.P2","1999",4.506179098
"10561","Aruba","IT.NET.USER.P2","2000",15.44282295
"10825","Aruba","IT.NET.USER.P2","2001",17.1
"11089","Aruba","IT.NET.USER.P2","2002",18.8
"11353","Aruba","IT.NET.USER.P2","2003",20.8
"11617","Aruba","IT.NET.USER.P2","2004",23
"11881","Aruba","IT.NET.USER.P2","2005",25.4
"12145","Aruba","IT.NET.USER.P2","2006",28
"12409","Aruba","IT.NET.USER.P2","2007",30.9
"12673","Aruba","IT.NET.USER.P2","2008",52
"12937","Aruba","IT.NET.USER.P2","2009",58
"13201","Aruba","IT.NET.USER.P2","2010",62
"13465","Aruba","IT.NET.USER.P2","2011",69
"13729","Aruba","IT.NET.USER.P2","2012",74
"13993","Aruba","IT.NET.USER.P2","2013",78.9
"14257","Aruba","IT.NET.USER.P2","2014",83.78
"14521","Aruba","IT.NET.USER.P2","2015",88.66122693
